x,c,sd
-27.1,0.022,0.002
-26.1,0.02,0.002
-24.7,0.02,0.002
-24.25,0.023,0.005
-23.75,0.021,0.005
-23.7,0.02,0.002
-23.05,0.022,0.005
-22.45,0.022,0.005
-22.3,0.02,0.002
-21.95,0.018,0.005
-21.45,0.023,0.005
-20.9,0.024,0.002
-20.75,0.019,0.005
-20.25,0.02,0.005
-19.75,0.024,0.005
-19.4,0.021,0.002
-18.95,0.019,0.005
-18.45,0.019,0.005
-17.95,0.017,0.005
-17.45,0.022,0.005
-16.95,0.018,0.005
-16.45,0.021,0.005
-15.85,0.019,0.005
-15.15,0.022,0.005
-14.65,0.024,0.005
-14.6,0.022,0.002
-14.15,0.019,0.005
-13.6,0.021,0.002
-13.45,0.019,0.005
-12.85,0.021,0.005
-12.6,0.025,0.002
-12.35,0.021,0.004
-11.65,0.024,0.005
-11.6,0.023,0.002
-11.15,0.023,0.005
-10.65,0.016,0.005
-10.2,0.026,0.002
-10.15,0.022,0.005
-9.35,0.023,0.005
-9.2,0.027,0.002
-8.85,0.025,0.005
-8.35,0.023,0.005
-7.8,0.026,0.002
-7.65,0.021,0.005
-7.15,0.024,0.005
-6.55,0.023,0.005
-6.05,0.019,0.005
-5.35,0.028,0.005
-4.85,0.024,0.005
-4.15,0.023,0.005
-4,0.025,0.002
-3.55,0.03,0.005
-3.05,0.022,0.005
-3,0.027,0.003
-2.35,0.026,0.005
-1.85,0.033,0.006
-1.5,0.033,0.003
-1.35,0.034,0.006
-0.85,0.038,0.006
-0.5,0.041,0.003
-0.05,0.049,0.006
0.45,0.047,0.006
0.9,0.053,0.003
0.95,0.049,0.006
1.65,0.055,0.007
1.9,0.063,0.003
2.15,0.06,0.007
2.75,0.057,0.007
2.9,0.062,0.003
3.45,0.063,0.007
3.95,0.064,0.007
4.45,0.067,0.007
4.95,0.063,0.007
5.3,0.066,0.004
5.75,0.071,0.007
6.25,0.067,0.007
6.3,0.068,0.004
6.75,0.067,0.007
7.25,0.062,0.007
7.7,0.065,0.004
7.75,0.071,0.007
8.25,0.065,0.007
8.7,0.064,0.004
8.85,0.068,0.007
9.55,0.066,0.007
10.05,0.063,0.007
10.1,0.067,0.004
11.1,0.067,0.004
12.1,0.069,0.004
13.5,0.071,0.004
14.5,0.074,0.004
15.9,0.069,0.004
16.9,0.066,0.004
18.4,0.069,0.004
24.6,0.065,0.004
